Date,Group,Count
20/05/2016,1,4
20/05/2016,2,14
20/05/2016,3,11
20/05/2016,5,4
21/05/2016,0,9
21/05/2016,1,83
21/05/2016,2,99
21/05/2016,3,24
21/05/2016,4,6
21/05/2016,5,26
21/05/2016,6,1
22/05/2016,0,10
22/05/2016,1,100
22/05/2016,2,75
22/05/2016,3,27
22/05/2016,4,6
22/05/2016,5,29
22/05/2016,6,5
23/05/2016,0,9
23/05/2016,1,78
23/05/2016,2,131
23/05/2016,3,28
23/05/2016,4,7
23/05/2016,5,26
23/05/2016,6,2
24/05/2016,0,5
24/05/2016,1,89
24/05/2016,2,126
24/05/2016,3,41
24/05/2016,4,7
24/05/2016,5,19
25/05/2016,0,8
25/05/2016,1,90
25/05/2016,2,108
25/05/2016,3,57
25/05/2016,4,9
25/05/2016,5,24
25/05/2016,6,1
26/05/2016,0,7
26/05/2016,1,108
26/05/2016,2,112
26/05/2016,3,32
26/05/2016,4,4
26/05/2016,5,15
26/05/2016,6,3
27/05/2016,0,8
27/05/2016,1,117
27/05/2016,2,101
27/05/2016,3,57
27/05/2016,4,11
27/05/2016,5,22
27/05/2016,6,4
27/05/2016,7,1
28/05/2016,0,5
28/05/2016,1,95
28/05/2016,2,101
28/05/2016,3,40
28/05/2016,4,3
28/05/2016,5,23
28/05/2016,6,2
28/05/2016,7,1
29/05/2016,0,6
29/05/2016,1,95
29/05/2016,2,105
29/05/2016,3,31
29/05/2016,4,6
29/05/2016,5,30
29/05/2016,6,2
30/05/2016,0,6
30/05/2016,1,116
30/05/2016,2,96
30/05/2016,3,32
30/05/2016,4,3
30/05/2016,5,28
30/05/2016,6,5
31/05/2016,0,11
31/05/2016,1,81
31/05/2016,2,120
31/05/2016,3,37
31/05/2016,4,11
31/05/2016,5,18
31/05/2016,6,2
31/05/2016,7,1
01/06/2016,0,3
01/06/2016,1,87
01/06/2016,2,128
01/06/2016,3,41
01/06/2016,4,6
01/06/2016,5,18
01/06/2016,6,4
01/06/2016,7,1
02/06/2016,0,7
02/06/2016,1,96
02/06/2016,2,141
02/06/2016,3,45
02/06/2016,4,20
02/06/2016,5,17
02/06/2016,6,2
03/06/2016,0,16
03/06/2016,1,88
03/06/2016,2,120
03/06/2016,3,42
03/06/2016,4,8
03/06/2016,5,26
03/06/2016,6,2
04/06/2016,0,25
04/06/2016,1,87
04/06/2016,2,77
04/06/2016,3,32
04/06/2016,4,7
04/06/2016,5,12
04/06/2016,6,3
05/06/2016,0,16
05/06/2016,1,106
05/06/2016,2,101
05/06/2016,3,38
05/06/2016,4,4
05/06/2016,5,17
05/06/2016,6,5
05/06/2016,7,1
06/06/2016,0,11
06/06/2016,1,105
06/06/2016,2,97
06/06/2016,3,35
06/06/2016,4,5
06/06/2016,5,19
06/06/2016,6,2
06/06/2016,7,1
07/06/2016,0,9
07/06/2016,1,88
07/06/2016,2,122
07/06/2016,3,40
07/06/2016,4,4
07/06/2016,5,16
07/06/2016,6,4
07/06/2016,7,2
08/06/2016,0,11
08/06/2016,1,89
08/06/2016,2,107
08/06/2016,3,37
08/06/2016,4,4
08/06/2016,5,13
08/06/2016,6,4
09/06/2016,0,9
09/06/2016,1,111
09/06/2016,2,155
09/06/2016,3,37
09/06/2016,4,11
09/06/2016,5,14
09/06/2016,6,1
09/06/2016,7,1
10/06/2016,0,7
10/06/2016,1,595
10/06/2016,2,293
10/06/2016,3,61
10/06/2016,4,12
10/06/2016,5,12
10/06/2016,6,8
10/06/2016,7,2
11/06/2016,0,10
11/06/2016,1,324
11/06/2016,2,166
11/06/2016,3,28
11/06/2016,4,10
11/06/2016,5,12
12/06/2016,0,7
12/06/2016,1,233
12/06/2016,2,119
12/06/2016,3,30
12/06/2016,4,6
12/06/2016,5,10
12/06/2016,6,1
13/06/2016,1,171
13/06/2016,2,124
13/06/2016,3,30
13/06/2016,4,6
13/06/2016,5,14
13/06/2016,6,4
14/06/2016,0,12
14/06/2016,1,128
14/06/2016,2,124
14/06/2016,3,43
14/06/2016,4,7
14/06/2016,5,8
14/06/2016,6,5
14/06/2016,7,1
15/06/2016,0,8
15/06/2016,1,117
15/06/2016,2,137
15/06/2016,3,39
15/06/2016,4,5
15/06/2016,5,7
15/06/2016,6,4
16/06/2016,0,3
16/06/2016,1,103
16/06/2016,2,101
16/06/2016,3,22
16/06/2016,4,8
16/06/2016,5,3
16/06/2016,6,5
17/06/2016,0,7
17/06/2016,1,93
17/06/2016,2,113
17/06/2016,3,28
17/06/2016,4,4
17/06/2016,5,10
17/06/2016,6,3
18/06/2016,0,4
18/06/2016,1,77
18/06/2016,2,66
18/06/2016,3,20
18/06/2016,4,6
18/06/2016,5,13
18/06/2016,6,4
19/06/2016,0,5
19/06/2016,1,66
19/06/2016,2,66
19/06/2016,3,18
19/06/2016,4,8
19/06/2016,5,13
19/06/2016,6,3
19/06/2016,7,1
